date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:45	1631/1631	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2014:03:45%20GMT	https://mybenefit.be/robots.txt		(from )
16:03:45	5453/5453	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2014:03:45%20GMT	https://mybenefit.be/de/	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/de/index.html	(from )
16:03:45	117752/117752	---M-Z	200	added ('OK')	text/css	etag:%22cef5c3%22	https://mybenefit.be/assets/meta/zcef5c3/bootstrap/css/bootstrap.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/meta/zcef5c3/bootstrap/css/bootstrap.css	(from https://mybenefit.be/de/)
16:03:46	1311/1311	---M-Z	200	added ('OK')	text/css	etag:%223b36fd2b%22	https://mybenefit.be/assets/meta/z3b36fd2b/tapestry5/tapestry.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/meta/z3b36fd2b/tapestry5/tapestry.css	(from https://mybenefit.be/de/)
16:03:46	394/394	---M-Z	200	added ('OK')	text/css	etag:%2246ba6ee5%22	https://mybenefit.be/assets/meta/z46ba6ee5/tapestry5/exception-frame.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/meta/z46ba6ee5/tapestry5/exception-frame.css	(from https://mybenefit.be/de/)
16:03:46	516/516	---M-Z	200	added ('OK')	text/css	etag:%229cac79b1%22	https://mybenefit.be/assets/meta/z9cac79b1/tapestry5/tapestry-console.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/meta/z9cac79b1/tapestry5/tapestry-console.css	(from https://mybenefit.be/de/)
16:03:47	1416/1416	---M-Z	200	added ('OK')	text/css	etag:%22d721e6a2%22	https://mybenefit.be/assets/meta/zd721e6a2/tapestry5/tree.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/meta/zd721e6a2/tapestry5/tree.css	(from https://mybenefit.be/de/)
16:03:48	30590/30590	---M-Z	200	added ('OK')	text/css	etag:%2234a09e91%22	https://mybenefit.be/assets/tapestry-jquery/z34a09e91/vendor/ui/themes/smoothness/jquery-ui.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/tapestry-jquery/z34a09e91/vendor/ui/themes/smoothness/jquery-ui.css	(from https://mybenefit.be/de/)
16:03:48	1600/1600	---M-Z	200	added ('OK')	text/css	etag:%22f42f322e%22	https://mybenefit.be/assets/meta/pac/zf42f322e/components/actionmenu/css/actionmenu.css	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/meta/pac/zf42f322e/components/actionmenu/css/actionmenu.css	(from https://mybenefit.be/de/)
16:03:49	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Apr%202019%2014:03:49%20GMT	https://mybenefit.be/de/index.layout.languageselector:changelocale/nl	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/de/index.layout.languageselector_changelocale/nl.7.delayed	(from https://mybenefit.be/de/)
16:03:50	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Apr%202019%2014:03:50%20GMT	https://mybenefit.be/de/index.layout.languageselector:changelocale/fr	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/de/index.layout.languageselector_changelocale/fr.8.delayed	(from https://mybenefit.be/de/)
16:03:51	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2003%20Apr%202019%2014:03:51%20GMT	https://mybenefit.be/de/index.layout.languageselector:changelocale/en	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/de/index.layout.languageselector_changelocale/en.9.delayed	(from https://mybenefit.be/de/)
16:03:52	236420/236420	---M-Z	200	added ('OK')	text/javascript	etag:%22c5a6da7%22	https://mybenefit.be/assets/stack/zc5a6da7/de/core.js	C:/Users/Catho/Documents/Catho/school/GIP/gipDE/mybenefit.be/assets/stack/zc5a6da7/de/core.js	(from https://mybenefit.be/de/)
